field,ID,Ra,Dec,zbest,beta_UV,beta_UV_err,beta_opt,beta_opt_err,m_uv
CEERS,1669,214.817697,52.877855,5.47,-2.48,0.1,0.04,0.06,26.33
CEERS,24253,214.97996,52.861078,6.23,-1.98,0.07,0.99,0.03,25.94
CEERS,29025,215.080279,52.907899,7.48,-1.94,0.07,1.38,0.04,25.57
JADES,11125,53.06768,-27.812331,4.63,-1.96,0.04,0.73,0.02,26.02
PRIMER-COS,2601,150.131691,2.435682,4.51,-2.05,0.14,0.99,0.05,26.42
PRIMER-COS,3866,150.100965,2.41942,4.66,-0.48,0.03,0.12,0.02,22.58
PRIMER-COS,7236,150.170166,2.38839,5.29,-1.93,0.14,0.48,0.04,25.88
PRIMER-COS,13104,150.144439,2.344396,4.54,-2.11,0.11,0.52,0.03,26.26
PRIMER-COS,13211,150.098997,2.343621,7.06,-2.6,0.07,1.38,0.03,25.14
PRIMER-COS,20492,150.055362,2.291587,6.43,-1.98,0.25,0.16,0.09,26.0
PRIMER-COS,31362,150.149146,2.183952,6.01,-2.55,0.23,0.36,0.07,26.24
PRIMER-UDS,13468,34.315038,-5.149331,6.97,-2.56,0.11,1.49,0.06,25.85
PRIMER-UDS,27299,34.368747,-5.214285,4.36,-1.75,0.06,0.1,0.04,25.58
PRIMER-UDS,44702,34.420911,-5.296178,4.63,-2.27,0.17,0.65,0.06,25.98
UNCOVER,9858,3.636965,-30.406357,8.65,-1.9,0.07,2.4,0.12,25.41
