field,srcid,ra,dec,zphot,uv_mag
CEERS,1669,214.817697,52.877855,5.47,26.33
CEERS,2520,214.844768,52.892101,8.69,26.88
CEERS,7902,214.983037,52.956006,6.99,26.79
CEERS,15184,214.758699,52.749724,4.48,26.88
CEERS,19578,214.880162,52.812562,5.29,26.79
CEERS,24253,214.97996,52.861078,6.23,25.94
CEERS,29025,215.080279,52.907899,7.48,25.57
NGDEEP,1868,53.262517,-27.820981,4.45,26.87
JADES,11125,53.06768,-27.812331,4.63,26.02
JADES,21925,53.08683,-27.873056,3.1,26.99
JADES,26901,53.097523,-27.901256,5.26,26.89
PRIMER-COS,2451,150.173282,2.437678,4.69,26.72
PRIMER-COS,2601,150.131691,2.435682,4.51,26.42
PRIMER-COS,3866,150.100965,2.41942,4.66,22.58
PRIMER-COS,7236,150.170166,2.38839,5.29,25.88
PRIMER-COS,8925,150.074228,2.373893,5.2,26.64
PRIMER-COS,13104,150.144439,2.344396,4.54,26.26
PRIMER-COS,13211,150.098997,2.343621,7.06,25.14
PRIMER-COS,13886,150.175769,2.338785,5.86,26.64
PRIMER-COS,20492,150.055362,2.291587,6.43,26.0
PRIMER-COS,30244,150.071665,2.200398,5.17,26.83
PRIMER-COS,30612,150.118931,2.194972,6.37,26.81
PRIMER-COS,31362,150.149146,2.183952,6.01,26.24
PRIMER-UDS,2154,34.201532,-5.095948,6.37,26.92
PRIMER-UDS,4828,34.334611,-5.110271,4.51,26.68
PRIMER-UDS,5480,34.430215,-5.113209,5.8,26.64
PRIMER-UDS,13468,34.315038,-5.149331,6.97,25.85
PRIMER-UDS,19877,34.363493,-5.17695,4.39,26.69
PRIMER-UDS,27299,34.368747,-5.214285,4.36,25.58
PRIMER-UDS,31092,34.264581,-5.232544,5.68,26.88
PRIMER-UDS,31813,34.343978,-5.236175,4.48,26.67
PRIMER-UDS,34899,34.422285,-5.250725,5.77,26.62
PRIMER-UDS,40898,34.391916,-5.27694,5.47,26.9
PRIMER-UDS,42216,34.366884,-5.284193,4.6,26.59
PRIMER-UDS,44702,34.420911,-5.296178,4.63,25.98
PRIMER-UDS,113436,34.323597,-5.214154,7.84,26.99
UNCOVER,2918,3.510632,-30.341966,4.36,26.52
UNCOVER,3943,3.49885,-30.35294,4.75,26.67
UNCOVER,9858,3.636965,-30.406357,8.65,25.41
