Wavelength 	 FilterTrans 	      PCE
     0.500 	           0 	        0
     0.501 	           0 	        0
     0.502 	           0 	        0
     0.503 	           0 	        0
     0.504 	           0 	        0
     0.505 	           0 	        0
     0.506 	           0 	        0
     0.507 	           0 	        0
     0.508 	           0 	        0
     0.509 	           0 	        0
     0.510 	           0 	        0
     0.511 	           0 	        0
     0.512 	           0 	        0
     0.513 	           0 	        0
     0.514 	           0 	        0
     0.515 	           0 	        0
     0.516 	           0 	        0
     0.517 	           0 	        0
     0.518 	           0 	        0
     0.519 	           0 	        0
     0.520 	           0 	        0
     0.521 	           0 	        0
     0.522 	           0 	        0
     0.523 	           0 	        0
     0.524 	           0 	        0
     0.525 	           0 	        0
     0.526 	           0 	        0
     0.527 	           0 	        0
     0.528 	           0 	        0
     0.529 	           0 	        0
     0.530 	           0 	        0
     0.531 	           0 	        0
     0.532 	           0 	        0
     0.533 	           0 	        0
     0.534 	           0 	        0
     0.535 	           0 	        0
     0.536 	           0 	        0
     0.537 	           0 	        0
     0.538 	           0 	        0
     0.539 	           0 	        0
     0.540 	           0 	        0
     0.541 	           0 	        0
     0.542 	           0 	        0
     0.543 	           0 	        0
     0.544 	           0 	        0
     0.545 	           0 	        0
     0.546 	           0 	        0
     0.547 	           0 	        0
     0.548 	           0 	        0
     0.549 	           0 	        0
     0.550 	           0 	        0
     0.551 	           0 	        0
     0.552 	           0 	        0
     0.553 	           0 	        0
     0.554 	           0 	        0
     0.555 	           0 	        0
     0.556 	           0 	        0
     0.557 	           0 	        0
     0.558 	           0 	        0
     0.559 	           0 	        0
     0.560 	           0 	        0
     0.561 	           0 	        0
     0.562 	           0 	        0
     0.563 	           0 	        0
     0.564 	           0 	        0
     0.565 	           0 	        0
     0.566 	           0 	        0
     0.567 	           0 	        0
     0.568 	           0 	        0
     0.569 	           0 	        0
     0.570 	           0 	        0
     0.571 	           0 	        0
     0.572 	           0 	        0
     0.573 	           0 	        0
     0.574 	           0 	        0
     0.575 	           0 	        0
     0.576 	           0 	        0
     0.577 	           0 	        0
     0.578 	           0 	        0
     0.579 	           0 	        0
     0.580 	           0 	        0
     0.581 	           0 	        0
     0.582 	           0 	        0
     0.583 	           0 	        0
     0.584 	           0 	        0
     0.585 	           0 	        0
     0.586 	           0 	        0
     0.587 	           0 	        0
     0.588 	           0 	        0
     0.589 	           0 	        0
     0.590 	           0 	        0
     0.591 	           0 	        0
     0.592 	           0 	        0
     0.593 	           0 	        0
     0.594 	           0 	        0
     0.595 	           0 	        0
     0.596 	           0 	        0
     0.597 	           0 	        0
     0.598 	           0 	        0
     0.599 	           0 	        0
     0.600 	           0 	        0
     0.601 	           0 	        0
     0.602 	           0 	        0
     0.603 	           0 	        0
     0.604 	           0 	        0
     0.605 	           0 	        0
     0.606 	           0 	        0
     0.607 	           0 	        0
     0.608 	           0 	        0
     0.609 	           0 	        0
     0.610 	           0 	        0
     0.611 	           0 	        0
     0.612 	           0 	        0
     0.613 	           0 	        0
     0.614 	           0 	        0
     0.615 	           0 	        0
     0.616 	           0 	        0
     0.617 	           0 	        0
     0.618 	           0 	        0
     0.619 	           0 	        0
     0.620 	           0 	        0
     0.621 	           0 	        0
     0.622 	           0 	        0
     0.623 	           0 	        0
     0.624 	           0 	        0
     0.625 	           0 	        0
     0.626 	           0 	        0
     0.627 	           0 	        0
     0.628 	           0 	        0
     0.629 	           0 	        0
     0.630 	           0 	        0
     0.631 	  2.4407e-08 	 1.02233e-08
     0.632 	 4.55752e-08 	 1.93371e-08
     0.633 	 3.16461e-08 	 1.36009e-08
     0.634 	           0 	        0
     0.635 	           0 	        0
     0.636 	           0 	        0
     0.637 	           0 	        0
     0.638 	           0 	        0
     0.639 	           0 	        0
     0.640 	 1.11281e-08 	 5.22418e-09
     0.641 	 1.07668e-08 	 5.11606e-09
     0.642 	           0 	        0
     0.643 	           0 	        0
     0.644 	           0 	        0
     0.645 	 1.42218e-08 	 7.08896e-09
     0.646 	 1.81835e-08 	 9.17183e-09
     0.647 	           0 	        0
     0.648 	           0 	        0
     0.649 	           0 	        0
     0.650 	           0 	        0
     0.651 	           0 	        0
     0.652 	           0 	        0
     0.653 	           0 	        0
     0.654 	           0 	        0
     0.655 	           0 	        0
     0.656 	           0 	        0
     0.657 	           0 	        0
     0.658 	           0 	        0
     0.659 	           0 	        0
     0.660 	           0 	        0
     0.661 	           0 	        0
     0.662 	           0 	        0
     0.663 	           0 	        0
     0.664 	           0 	        0
     0.665 	           0 	        0
     0.666 	           0 	        0
     0.667 	           0 	        0
     0.668 	           0 	        0
     0.669 	           0 	        0
     0.670 	           0 	        0
     0.671 	           0 	        0
     0.672 	           0 	        0
     0.673 	           0 	        0
     0.674 	           0 	        0
     0.675 	           0 	        0
     0.676 	           0 	        0
     0.677 	           0 	        0
     0.678 	           0 	        0
     0.679 	           0 	        0
     0.680 	           0 	        0
     0.681 	           0 	        0
     0.682 	           0 	        0
     0.683 	           0 	        0
     0.684 	           0 	        0
     0.685 	           0 	        0
     0.686 	 1.49482e-08 	 1.07684e-08
     0.687 	 1.85478e-08 	 1.34466e-08
     0.688 	           0 	        0
     0.689 	           0 	        0
     0.690 	 1.66016e-08 	 1.22594e-08
     0.691 	 3.46848e-08 	 2.57552e-08
     0.692 	  5.9816e-08 	 4.4658e-08
     0.693 	  5.7586e-08 	 4.32343e-08
     0.694 	           0 	        0
     0.695 	           0 	        0
     0.696 	           0 	        0
     0.697 	           0 	        0
     0.698 	 2.15774e-08 	 1.662e-08
     0.699 	 3.06615e-08 	 2.37288e-08
     0.700 	 3.22577e-08 	 2.50859e-08
     0.701 	 2.81546e-08 	 2.19959e-08
     0.702 	  3.2986e-08 	 2.58933e-08
     0.703 	 4.03922e-08 	 3.18525e-08
     0.704 	 5.11277e-08 	 4.0496e-08
     0.705 	 6.15462e-08 	 4.89593e-08
     0.706 	 4.81074e-08 	 3.84326e-08
     0.707 	 1.55047e-08 	 1.24371e-08
     0.708 	  1.0593e-08 	 8.53346e-09
     0.709 	           0 	        0
     0.710 	           0 	        0
     0.711 	           0 	        0
     0.712 	           0 	        0
     0.713 	           0 	        0
     0.714 	           0 	        0
     0.715 	           0 	        0
     0.716 	           0 	        0
     0.717 	           0 	        0
     0.718 	           0 	        0
     0.719 	           0 	        0
     0.720 	           0 	        0
     0.721 	           0 	        0
     0.722 	           0 	        0
     0.723 	           0 	        0
     0.724 	           0 	        0
     0.725 	           0 	        0
     0.726 	           0 	        0
     0.727 	           0 	        0
     0.728 	           0 	        0
     0.729 	           0 	        0
     0.730 	           0 	        0
     0.731 	           0 	        0
     0.732 	           0 	        0
     0.733 	           0 	        0
     0.734 	           0 	        0
     0.735 	           0 	        0
     0.736 	           0 	        0
     0.737 	           0 	        0
     0.738 	           0 	        0
     0.739 	           0 	        0
     0.740 	           0 	        0
     0.741 	           0 	        0
     0.742 	           0 	        0
     0.743 	           0 	        0
     0.744 	           0 	        0
     0.745 	           0 	        0
     0.746 	           0 	        0
     0.747 	           0 	        0
     0.748 	           0 	        0
     0.749 	           0 	        0
     0.750 	           0 	        0
     0.751 	           0 	        0
     0.752 	           0 	        0
     0.753 	           0 	        0
     0.754 	           0 	        0
     0.755 	           0 	        0
     0.756 	           0 	        0
     0.757 	           0 	        0
     0.758 	           0 	        0
     0.759 	           0 	        0
     0.760 	           0 	        0
     0.761 	           0 	        0
     0.762 	           0 	        0
     0.763 	           0 	        0
     0.764 	           0 	        0
     0.765 	           0 	        0
     0.766 	           0 	        0
     0.767 	           0 	        0
     0.768 	           0 	        0
     0.769 	           0 	        0
     0.770 	           0 	        0
     0.771 	           0 	        0
     0.772 	           0 	        0
     0.773 	           0 	        0
     0.774 	           0 	        0
     0.775 	           0 	        0
     0.776 	           0 	        0
     0.777 	           0 	        0
     0.778 	           0 	        0
     0.779 	           0 	        0
     0.780 	           0 	        0
     0.781 	           0 	        0
     0.782 	           0 	        0
     0.783 	           0 	        0
     0.784 	           0 	        0
     0.785 	           0 	        0
     0.786 	           0 	        0
     0.787 	           0 	        0
     0.788 	           0 	        0
     0.789 	           0 	        0
     0.790 	           0 	        0
     0.791 	           0 	        0
     0.792 	           0 	        0
     0.793 	           0 	        0
     0.794 	           0 	        0
     0.795 	           0 	        0
     0.796 	           0 	        0
     0.797 	           0 	        0
     0.798 	           0 	        0
     0.799 	           0 	        0
     0.800 	           0 	        0
     0.801 	           0 	        0
     0.802 	           0 	        0
     0.803 	           0 	        0
     0.804 	           0 	        0
     0.805 	           0 	        0
     0.806 	           0 	        0
     0.807 	           0 	        0
     0.808 	           0 	        0
     0.809 	           0 	        0
     0.810 	           0 	        0
     0.811 	           0 	        0
     0.812 	           0 	        0
     0.813 	           0 	        0
     0.814 	           0 	        0
     0.815 	           0 	        0
     0.816 	           0 	        0
     0.817 	           0 	        0
     0.818 	           0 	        0
     0.819 	           0 	        0
     0.820 	           0 	        0
     0.821 	           0 	        0
     0.822 	           0 	        0
     0.823 	           0 	        0
     0.824 	           0 	        0
     0.825 	           0 	        0
     0.826 	           0 	        0
     0.827 	           0 	        0
     0.828 	           0 	        0
     0.829 	           0 	        0
     0.830 	           0 	        0
     0.831 	           0 	        0
     0.832 	           0 	        0
     0.833 	           0 	        0
     0.834 	           0 	        0
     0.835 	           0 	        0
     0.836 	           0 	        0
     0.837 	           0 	        0
     0.838 	           0 	        0
     0.839 	           0 	        0
     0.840 	           0 	        0
     0.841 	           0 	        0
     0.842 	           0 	        0
     0.843 	           0 	        0
     0.844 	           0 	        0
     0.845 	           0 	        0
     0.846 	           0 	        0
     0.847 	           0 	        0
     0.848 	           0 	        0
     0.849 	           0 	        0
     0.850 	           0 	        0
     0.851 	           0 	        0
     0.852 	           0 	        0
     0.853 	           0 	        0
     0.854 	           0 	        0
     0.855 	           0 	        0
     0.856 	           0 	        0
     0.857 	           0 	        0
     0.858 	           0 	        0
     0.859 	           0 	        0
     0.860 	           0 	        0
     0.861 	 1.60058e-08 	 1.3084e-08
     0.862 	 1.78126e-08 	 1.45533e-08
     0.863 	 2.30089e-08 	 1.87899e-08
     0.864 	 1.54601e-08 	 1.26192e-08
     0.865 	           0 	        0
     0.866 	 1.80833e-08 	 1.47528e-08
     0.867 	 2.58948e-08 	 2.11196e-08
     0.868 	 2.71149e-08 	 2.21101e-08
     0.869 	 2.71854e-08 	 2.2159e-08
     0.870 	 4.35978e-08 	 3.55293e-08
     0.871 	 1.14026e-07 	 9.28909e-08
     0.872 	 1.48242e-07 	 1.20731e-07
     0.873 	  1.3675e-07 	 1.11332e-07
     0.874 	 6.43357e-08 	 5.2363e-08
     0.875 	 7.00299e-08 	 5.69713e-08
     0.876 	 7.93792e-08 	 6.45649e-08
     0.877 	  1.1737e-07 	 9.54401e-08
     0.878 	 5.99182e-08 	 4.87134e-08
     0.879 	 1.05467e-07 	 8.57025e-08
     0.880 	 7.98376e-08 	 6.48567e-08
     0.881 	 1.52311e-07 	 1.23724e-07
     0.882 	 1.16127e-07 	 9.43188e-08
     0.883 	 1.03692e-07 	 8.41993e-08
     0.884 	 2.13093e-08 	 1.72937e-08
     0.885 	 2.54722e-08 	 2.06657e-08
     0.886 	 1.09711e-07 	 8.89882e-08
     0.887 	    1.88e-07 	 1.52453e-07
     0.888 	 1.89758e-07 	 1.5378e-07
     0.889 	 1.02406e-07 	 8.29702e-08
     0.890 	 1.45079e-07 	 1.17516e-07
     0.891 	 1.78106e-07 	 1.44183e-07
     0.892 	 1.93622e-07 	 1.56658e-07
     0.893 	 4.02766e-08 	 3.25754e-08
     0.894 	           0 	        0
     0.895 	 3.52024e-07 	 2.8441e-07
     0.896 	 1.08324e-06 	 8.74856e-07
     0.897 	 1.12772e-06 	 9.10238e-07
     0.898 	 7.78431e-07 	 6.28008e-07
     0.899 	 1.83779e-07 	 1.48178e-07
     0.900 	 1.10162e-07 	 8.87815e-08
     0.901 	 1.04809e-07 	 8.44347e-08
     0.902 	 1.13975e-07 	 9.17734e-08
     0.903 	 8.02194e-08 	 6.45679e-08
     0.904 	 1.09337e-07 	 8.79506e-08
     0.905 	 1.10836e-07 	 8.9112e-08
     0.906 	 9.95533e-08 	 8.00092e-08
     0.907 	 1.19361e-07 	 9.58905e-08
     0.908 	 1.57504e-07 	 1.26483e-07
     0.909 	 1.89117e-07 	 1.51761e-07
     0.910 	 1.51722e-07 	 1.21713e-07
     0.911 	 8.37632e-08 	 6.71725e-08
     0.912 	 6.03914e-08 	 4.84079e-08
     0.913 	 6.47062e-08 	 5.18371e-08
     0.914 	 1.08359e-07 	 8.67775e-08
     0.915 	 1.49819e-07 	 1.19925e-07
     0.916 	 1.31269e-07 	 1.05017e-07
     0.917 	 1.23963e-07 	 9.91339e-08
     0.918 	 8.54986e-08 	 6.83496e-08
     0.919 	 1.54802e-07 	 1.23681e-07
     0.920 	 1.28993e-07 	 1.03017e-07
     0.921 	 2.08612e-07 	 1.66584e-07
     0.922 	 1.89025e-07 	 1.50924e-07
     0.923 	 1.81466e-07 	 1.44857e-07
     0.924 	 1.24612e-07 	 9.94525e-08
     0.925 	 1.00958e-07 	 8.05732e-08
     0.926 	 1.30231e-07 	 1.03928e-07
     0.927 	  1.2117e-07 	 9.66886e-08
     0.928 	 1.37496e-07 	 1.09716e-07
     0.929 	 1.12891e-07 	 9.00861e-08
     0.930 	 1.64725e-07 	 1.31439e-07
     0.931 	  1.5079e-07 	 1.2035e-07
     0.932 	 2.40257e-07 	 1.91701e-07
     0.933 	 2.55691e-07 	 2.04065e-07
     0.934 	 2.58349e-07 	 2.06181e-07
     0.935 	 1.80566e-07 	 1.44097e-07
     0.936 	 9.55083e-08 	 7.62391e-08
     0.937 	 1.13047e-07 	 9.02465e-08
     0.938 	 1.08227e-07 	 8.64029e-08
     0.939 	 1.54904e-07 	 1.23704e-07
     0.940 	 1.28774e-07 	 1.02842e-07
     0.941 	 2.26201e-07 	 1.80694e-07
     0.942 	 2.27512e-07 	 1.8182e-07
     0.943 	 2.06539e-07 	 1.65112e-07
     0.944 	 2.05845e-07 	 1.64602e-07
     0.945 	 3.02708e-07 	 2.42188e-07
     0.946 	 4.03609e-07 	 3.23003e-07
     0.947 	 4.81757e-07 	 3.85677e-07
     0.948 	 4.61014e-07 	 3.69236e-07
     0.949 	 5.44669e-07 	 4.3645e-07
     0.950 	 5.61222e-07 	 4.49916e-07
     0.951 	  6.6707e-07 	 5.34933e-07
     0.952 	 7.48234e-07 	 6.00312e-07
     0.953 	  7.2936e-07 	 5.85391e-07
     0.954 	 7.44871e-07 	 5.98068e-07
     0.955 	 7.70418e-07 	 6.18966e-07
     0.956 	  9.7598e-07 	 7.84416e-07
     0.957 	 1.20679e-06 	 9.70517e-07
     0.958 	 1.54112e-06 	 1.23986e-06
     0.959 	 1.96535e-06 	 1.58201e-06
     0.960 	 2.51176e-06 	 2.02286e-06
     0.961 	 3.15925e-06 	 2.54576e-06
     0.962 	 3.89356e-06 	 3.14e-06
     0.963 	 4.67793e-06 	 3.7744e-06
     0.964 	 5.45333e-06 	 4.4031e-06
     0.965 	 6.28875e-06 	 5.08104e-06
     0.966 	 7.24423e-06 	 5.8571e-06
     0.967 	 8.52696e-06 	 6.89971e-06
     0.968 	 1.01331e-05 	 8.20501e-06
     0.969 	 1.21983e-05 	 9.88408e-06
     0.970 	  1.4579e-05 	 1.18241e-05
     0.971 	 1.73706e-05 	 1.40984e-05
     0.972 	  2.0335e-05 	 1.6515e-05
     0.973 	 2.33197e-05 	 1.89571e-05
     0.974 	 2.60559e-05 	 2.11995e-05
     0.975 	 2.85776e-05 	 2.32709e-05
     0.976 	 3.10341e-05 	 2.52921e-05
     0.977 	 3.39777e-05 	 2.77084e-05
     0.978 	 3.78327e-05 	 3.08782e-05
     0.979 	 4.32367e-05 	 3.53269e-05
     0.980 	  5.0721e-05 	 4.1477e-05
     0.981 	 6.09173e-05 	 4.98545e-05
     0.982 	 7.47619e-05 	 6.12447e-05
     0.983 	 9.32181e-05 	 7.64175e-05
     0.984 	 0.000117042 	 9.60234e-05
     0.985 	 0.000147412 	 0.000121063
     0.986 	 0.000184761 	 0.000151875
     0.987 	  0.00022952 	 0.000188816
     0.988 	 0.000281857 	 0.000232057
     0.989 	 0.000341601 	 0.000281501
     0.990 	 0.000408817 	 0.000337198
     0.991 	 0.000483069 	 0.000398829
     0.992 	 0.000565551 	 0.00046729
     0.993 	 0.000659542 	 0.000545435
     0.994 	  0.00076882 	 0.000636371
     0.995 	 0.000898733 	 0.000744479
     0.996 	  0.00106001 	 0.000878922
     0.997 	  0.00126651 	 0.0010512
     0.998 	   0.0263085 	 0.0218529
     0.999 	   0.0604743 	 0.0502765
     1.000 	    0.098786 	 0.0822066
     1.001 	    0.115551 	 0.0962307
     1.002 	    0.128659 	 0.107249
     1.003 	    0.142292 	 0.118724
     1.004 	     0.15879 	 0.132589
     1.005 	    0.176627 	 0.147623
     1.006 	    0.199045 	 0.166534
     1.007 	    0.224034 	 0.187558
     1.008 	    0.253651 	 0.212581
     1.009 	    0.288395 	 0.241869
     1.010 	    0.328964 	 0.276158
     1.011 	    0.375611 	 0.315622
     1.012 	    0.426113 	  0.35836
     1.013 	    0.482738 	 0.406329
     1.014 	    0.542223 	  0.45683
     1.015 	    0.599991 	 0.505934
     1.016 	     0.65246 	 0.550638
     1.017 	    0.694925 	  0.58711
     1.018 	    0.727008 	 0.614604
     1.019 	    0.745228 	 0.630669
     1.020 	    0.753665 	 0.638357
     1.021 	    0.755269 	  0.64032
     1.022 	    0.755347 	 0.640881
     1.023 	     0.75505 	 0.641234
     1.024 	    0.756279 	 0.642889
     1.025 	    0.757476 	   0.6444
     1.026 	    0.755844 	 0.643617
     1.027 	    0.751673 	  0.64062
     1.028 	    0.747603 	 0.637827
     1.029 	     0.74495 	 0.635971
     1.030 	    0.742731 	 0.634608
     1.031 	     0.74255 	 0.635147
     1.032 	    0.745714 	 0.638215
     1.033 	    0.752092 	 0.644167
     1.034 	    0.757955 	 0.649697
     1.035 	    0.766252 	  0.65738
     1.036 	    0.773129 	 0.663786
     1.037 	    0.779037 	  0.66938
     1.038 	    0.782977 	 0.673347
     1.039 	    0.787276 	 0.677558
     1.040 	    0.790317 	 0.680757
     1.041 	    0.791963 	 0.682635
     1.042 	    0.791735 	 0.682872
     1.043 	    0.792061 	 0.683739
     1.044 	    0.792936 	 0.685102
     1.045 	    0.794253 	 0.686673
     1.046 	    0.794738 	 0.687607
     1.047 	    0.793864 	 0.687354
     1.048 	    0.795689 	 0.689599
     1.049 	     0.79798 	 0.691962
     1.050 	    0.799517 	  0.69381
     1.051 	    0.799174 	 0.694117
     1.052 	    0.799488 	 0.694839
     1.053 	    0.801264 	 0.697066
     1.054 	    0.804928 	 0.700648
     1.055 	    0.808687 	 0.704457
     1.056 	    0.813913 	 0.709537
     1.057 	    0.816976 	 0.712665
     1.058 	    0.819202 	 0.715304
     1.059 	    0.819222 	 0.715779
     1.060 	    0.817724 	 0.715083
     1.061 	    0.815472 	 0.713587
     1.062 	    0.813094 	 0.711978
     1.063 	    0.808722 	 0.708701
     1.064 	    0.804267 	  0.70536
     1.065 	    0.798496 	 0.700833
     1.066 	    0.794759 	 0.698092
     1.067 	    0.788957 	 0.693451
     1.068 	    0.784608 	 0.690082
     1.069 	      0.7774 	  0.68427
     1.070 	    0.770325 	 0.678556
     1.071 	    0.762578 	 0.672228
     1.072 	     0.75528 	  0.66643
     1.073 	    0.749338 	 0.661672
     1.074 	    0.743767 	 0.657235
     1.075 	    0.739027 	 0.653526
     1.076 	     0.73635 	 0.651778
     1.077 	    0.732227 	 0.648655
     1.078 	    0.729328 	 0.646558
     1.079 	    0.723439 	 0.641806
     1.080 	    0.719835 	 0.639213
     1.081 	    0.716906 	 0.637159
     1.082 	     0.71499 	 0.635862
     1.083 	    0.714415 	 0.635829
     1.084 	    0.714995 	 0.636825
     1.085 	    0.719298 	 0.641138
     1.086 	    0.723427 	 0.645355
     1.087 	    0.728904 	 0.650796
     1.088 	     0.73402 	 0.655778
     1.089 	    0.738444 	 0.660367
     1.090 	    0.742616 	 0.664594
     1.091 	    0.745048 	  0.66715
     1.092 	    0.751065 	 0.673052
     1.093 	    0.756373 	 0.678263
     1.094 	    0.764435 	 0.685959
     1.095 	     0.76964 	 0.691098
     1.096 	    0.773807 	 0.695231
     1.097 	      0.7776 	 0.699243
     1.098 	    0.780056 	 0.701927
     1.099 	    0.783502 	 0.705423
     1.100 	    0.786802 	 0.708865
     1.101 	    0.790526 	 0.712761
     1.102 	    0.793816 	  0.71613
     1.103 	    0.794624 	 0.717419
     1.104 	    0.796607 	 0.719673
     1.105 	    0.797912 	 0.721256
     1.106 	    0.800825 	 0.724452
     1.107 	    0.801788 	 0.725789
     1.108 	    0.803438 	 0.727847
     1.109 	    0.803334 	 0.728158
     1.110 	    0.802391 	 0.727687
     1.111 	    0.800444 	  0.72628
     1.112 	    0.798782 	 0.725129
     1.113 	    0.798936 	 0.725919
