Wavelength 	 FilterTrans 	      PCE
     0.500 	           0 	        0
     0.501 	           0 	        0
     0.502 	 4.77507e-05 	 5.02177e-06
     0.503 	 2.95831e-05 	 3.12736e-06
     0.504 	 5.66107e-05 	 6.01614e-06
     0.505 	 7.61552e-06 	 8.13584e-07
     0.506 	 3.51606e-05 	 3.77572e-06
     0.507 	 7.82389e-05 	 8.44498e-06
     0.508 	 2.46304e-05 	 2.67297e-06
     0.509 	 4.90328e-05 	 5.35034e-06
     0.510 	 3.39538e-05 	 3.72589e-06
     0.511 	 8.99456e-06 	 9.92337e-07
     0.512 	 0.000168043 	 1.86428e-05
     0.513 	 0.000150086 	 1.6751e-05
     0.514 	 5.03128e-05 	 5.64691e-06
     0.515 	 8.54766e-05 	 9.64861e-06
     0.516 	 0.000158874 	 1.8042e-05
     0.517 	 0.000146209 	 1.67025e-05
     0.518 	  0.00010786 	 1.23974e-05
     0.519 	 0.000111117 	 1.28482e-05
     0.520 	 0.000174405 	 2.02889e-05
     0.521 	 0.000144796 	 1.69446e-05
     0.522 	 2.01046e-05 	 2.36807e-06
     0.523 	 4.18156e-05 	 4.95727e-06
     0.524 	 4.90749e-05 	 5.85285e-06
     0.525 	 2.68139e-05 	 3.21855e-06
     0.526 	 3.72029e-05 	 4.49495e-06
     0.527 	 3.49498e-05 	 4.25091e-06
     0.528 	 2.89176e-05 	 3.53992e-06
     0.529 	 7.01126e-05 	 8.63751e-06
     0.530 	 8.29394e-05 	 1.02886e-05
     0.531 	 3.20235e-06 	 3.99954e-07
     0.532 	 2.05434e-05 	 2.58304e-06
     0.533 	 4.49918e-05 	 5.69534e-06
     0.534 	 7.97869e-05 	 1.01695e-05
     0.535 	 2.64742e-05 	 3.39707e-06
     0.536 	 4.67599e-05 	 6.0426e-06
     0.537 	  0.00014519 	 1.88879e-05
     0.538 	 0.000125507 	 1.64444e-05
     0.539 	 9.12035e-05 	 1.20361e-05
     0.540 	 0.000122346 	 1.62591e-05
     0.541 	 7.44976e-05 	 9.97068e-06
     0.542 	  5.5681e-05 	 7.50566e-06
     0.543 	 2.42901e-05 	 3.29859e-06
     0.544 	 1.00952e-05 	 1.3805e-06
     0.545 	 4.91507e-05 	 6.77133e-06
     0.546 	 2.18329e-05 	 3.02949e-06
     0.547 	 1.51101e-05 	 2.1118e-06
     0.548 	 1.34298e-05 	 1.89082e-06
     0.549 	 1.15183e-05 	 1.63364e-06
     0.550 	 5.92434e-05 	 8.46529e-06
     0.551 	  3.5428e-05 	 5.10133e-06
     0.552 	  5.0247e-05 	 7.28855e-06
     0.553 	  4.6653e-05 	 6.81757e-06
     0.554 	 7.62721e-05 	 1.1231e-05
     0.555 	 0.000151318 	 2.24525e-05
     0.556 	 0.000161149 	 2.40959e-05
     0.557 	 8.06902e-05 	 1.21572e-05
     0.558 	  7.9341e-05 	 1.20442e-05
     0.559 	 0.000144173 	 2.20546e-05
     0.560 	 0.000201957 	 3.11275e-05
     0.561 	 0.000155981 	 2.42332e-05
     0.562 	 7.86361e-05 	 1.23105e-05
     0.563 	 0.000136529 	 2.15417e-05
     0.564 	 0.000105182 	 1.67222e-05
     0.565 	 9.49847e-06 	 1.52209e-06
     0.566 	 4.34514e-05 	 7.01718e-06
     0.567 	 5.90523e-05 	 9.6131e-06
     0.568 	 3.05399e-05 	 5.01039e-06
     0.569 	  3.5656e-06 	 5.89566e-07
     0.570 	 7.59334e-05 	 1.26536e-05
     0.571 	 4.07717e-06 	 6.84905e-07
     0.572 	  3.5239e-05 	 5.9664e-06
     0.573 	 1.22333e-05 	 2.08811e-06
     0.574 	 2.00894e-05 	 3.45513e-06
     0.575 	 2.59825e-05 	 4.50483e-06
     0.576 	 6.51436e-05 	 1.13858e-05
     0.577 	 0.000124539 	 2.19347e-05
     0.578 	 9.98129e-05 	 1.77197e-05
     0.579 	 6.84594e-05 	 1.22492e-05
     0.580 	 0.000118303 	 2.13363e-05
     0.581 	 0.000154801 	 2.81413e-05
     0.582 	 0.000110755 	 2.02984e-05
     0.583 	 0.000148854 	 2.7497e-05
     0.584 	  0.00016976 	 3.16085e-05
     0.585 	 7.54162e-05 	 1.41573e-05
     0.586 	 1.45133e-05 	 2.74552e-06
     0.587 	 3.79038e-06 	 7.22925e-07
     0.588 	 1.58985e-05 	 3.05592e-06
     0.589 	 1.37199e-05 	 2.65819e-06
     0.590 	  3.2724e-05 	 6.39097e-06
     0.591 	 5.75429e-05 	 1.1326e-05
     0.592 	 4.49936e-05 	 8.92614e-06
     0.593 	 2.07552e-05 	 4.15086e-06
     0.594 	 8.36683e-05 	 1.68658e-05
     0.595 	 0.000131618 	 2.67447e-05
     0.596 	 3.64843e-05 	 7.47077e-06
     0.597 	 3.47944e-05 	 7.18076e-06
     0.598 	 0.000195675 	 4.07047e-05
     0.599 	 0.000220686 	 4.62807e-05
     0.600 	 8.01257e-05 	 1.69344e-05
     0.601 	 9.49762e-05 	 2.0469e-05
     0.602 	 0.000227445 	 4.99684e-05
     0.603 	 0.000174255 	 3.90352e-05
     0.604 	 5.76996e-05 	 1.31734e-05
     0.605 	 6.73001e-05 	 1.56588e-05
     0.606 	 0.000120624 	 2.86044e-05
     0.607 	 7.83236e-05 	 1.89214e-05
     0.608 	 4.37922e-05 	 1.07774e-05
     0.609 	 1.46521e-05 	 3.67246e-06
     0.610 	 3.83082e-05 	 9.77989e-06
     0.611 	 3.84217e-05 	 9.97499e-06
     0.612 	 4.35455e-05 	 1.14955e-05
     0.613 	 1.95016e-05 	 5.2343e-06
     0.614 	 2.24743e-05 	 6.13353e-06
     0.615 	 5.11442e-06 	 1.41909e-06
     0.616 	 6.35863e-05 	 1.79286e-05
     0.617 	 9.37084e-05 	 2.68576e-05
     0.618 	 7.88596e-05 	 2.29656e-05
     0.619 	  7.6144e-05 	 2.25335e-05
     0.620 	 0.000153892 	 4.62794e-05
     0.621 	 0.000172148 	 5.25341e-05
     0.622 	 8.98041e-05 	 2.7813e-05
     0.623 	 7.15008e-05 	 2.24654e-05
     0.624 	 0.000165787 	 5.28661e-05
     0.625 	 0.000180389 	 5.83579e-05
     0.626 	 6.49374e-05 	 2.13104e-05
     0.627 	 9.32424e-05 	 3.10411e-05
     0.628 	  0.00018477 	 6.23811e-05
     0.629 	  6.7352e-05 	 2.30642e-05
     0.630 	 1.95623e-05 	 6.79273e-06
     0.631 	  7.2524e-05 	 2.55174e-05
     0.632 	 7.82073e-05 	 2.78733e-05
     0.633 	 9.22572e-05 	 3.33062e-05
     0.634 	 0.000160942 	 5.88647e-05
     0.635 	 0.000140642 	 5.20913e-05
     0.636 	 6.96825e-05 	 2.61406e-05
     0.637 	 0.000129764 	 4.93012e-05
     0.638 	 0.000241563 	 9.29352e-05
     0.639 	 0.000171663 	 6.68654e-05
     0.640 	 7.91472e-05 	 3.12113e-05
     0.641 	 0.000146086 	 5.83092e-05
     0.642 	 0.000194094 	 7.84099e-05
     0.643 	 0.000110569 	 4.52096e-05
     0.644 	  3.9295e-05 	 1.62601e-05
     0.645 	 0.000130831 	 5.47795e-05
     0.646 	  0.00017803 	 7.54312e-05
     0.647 	 8.67337e-05 	 3.71737e-05
     0.648 	 1.85166e-05 	 8.0301e-06
     0.649 	 3.82951e-05 	 1.68013e-05
     0.650 	 1.58062e-05 	 7.01392e-06
     0.651 	 4.52868e-05 	 2.03156e-05
     0.652 	 3.90335e-05 	 1.76995e-05
     0.653 	 2.51093e-05 	 1.15075e-05
     0.654 	 6.26558e-05 	 2.90199e-05
     0.655 	 6.20115e-06 	 2.90254e-06
     0.656 	 6.04409e-05 	 2.85868e-05
     0.657 	 0.000137527 	 6.57297e-05
     0.658 	 0.000144057 	 6.95721e-05
     0.659 	 0.000104734 	 5.11034e-05
     0.660 	 0.000162049 	 7.98661e-05
     0.661 	 0.000180484 	 8.97584e-05
     0.662 	 8.23992e-05 	 4.13387e-05
     0.663 	 6.43955e-05 	 3.25978e-05
     0.664 	 0.000194244 	 9.91876e-05
     0.665 	  0.00017553 	 9.04019e-05
     0.666 	 4.07178e-05 	 2.11528e-05
     0.667 	 0.000108491 	 5.6849e-05
     0.668 	 0.000263119 	 0.000139023
     0.669 	 8.90363e-05 	 4.74437e-05
     0.670 	 8.56868e-05 	 4.60396e-05
     0.671 	 6.16556e-05 	 3.34043e-05
     0.672 	 0.000167936 	 9.17359e-05
     0.673 	  1.0211e-05 	 5.62271e-06
     0.674 	 1.50269e-05 	 8.34196e-06
     0.675 	 1.29595e-05 	 7.25052e-06
     0.676 	 1.59913e-05 	 9.01918e-06
     0.677 	 1.65649e-05 	 9.41669e-06
     0.678 	 4.70003e-05 	 2.6924e-05
     0.679 	 7.04576e-05 	 4.06739e-05
     0.680 	  2.2889e-05 	 1.3313e-05
     0.681 	 2.30239e-05 	 1.34827e-05
     0.682 	 3.81276e-05 	 2.24761e-05
     0.683 	 6.72834e-05 	 3.99299e-05
     0.684 	 6.46715e-06 	 3.86301e-06
     0.685 	 4.94824e-05 	 2.97496e-05
     0.686 	 8.99209e-05 	 5.44129e-05
     0.687 	 0.000127668 	 7.77467e-05
     0.688 	 1.97686e-05 	 1.21165e-05
     0.689 	  3.3609e-05 	 2.07214e-05
     0.690 	 0.000198042 	 0.000122845
     0.691 	 0.000117394 	 7.32237e-05
     0.692 	 2.27209e-05 	 1.42491e-05
     0.693 	 6.44884e-05 	 4.06698e-05
     0.694 	 0.000120986 	 7.66951e-05
     0.695 	 4.47049e-05 	 2.84856e-05
     0.696 	 1.46088e-05 	 9.35659e-06
     0.697 	 7.10457e-05 	 4.57323e-05
     0.698 	  8.6672e-05 	 5.60778e-05
     0.699 	 6.90432e-05 	 4.48832e-05
     0.700 	 0.000109616 	 7.16061e-05
     0.701 	 0.000122303 	 8.02616e-05
     0.702 	 5.81061e-05 	 3.83142e-05
     0.703 	  8.3941e-05 	 5.56031e-05
     0.704 	 0.000109908 	 7.31248e-05
     0.705 	 4.80752e-05 	 3.21243e-05
     0.706 	 1.04834e-05 	 7.03509e-06
     0.707 	  3.7138e-05 	 2.50237e-05
     0.708 	 4.53481e-05 	 3.06863e-05
     0.709 	 7.24586e-05 	 4.92252e-05
     0.710 	 2.25832e-05 	 1.54036e-05
     0.711 	 6.17533e-06 	 4.228e-06
     0.712 	 7.07206e-05 	 4.85934e-05
     0.713 	 9.50671e-05 	 6.55452e-05
     0.714 	 4.62631e-05 	 3.20054e-05
     0.715 	 6.01558e-05 	 4.17558e-05
     0.716 	 0.000111208 	 7.74464e-05
     0.717 	 5.55961e-05 	 3.88449e-05
     0.718 	 2.35407e-05 	 1.64979e-05
     0.719 	 2.90636e-05 	 2.04329e-05
     0.720 	 5.70189e-05 	 4.02083e-05
     0.721 	 9.32039e-05 	 6.59109e-05
     0.722 	 0.000110904 	 7.86309e-05
     0.723 	 6.86856e-05 	 4.88355e-05
     0.724 	 2.98676e-05 	 2.12907e-05
     0.725 	 0.000123882 	 8.85558e-05
     0.726 	 0.000184958 	 0.000132527
     0.727 	 9.05289e-05 	 6.50329e-05
     0.728 	 6.18799e-05 	 4.45494e-05
     0.729 	 0.000170823 	 0.000123283
     0.730 	  0.00014061 	 0.00010168
     0.731 	 3.74926e-05 	 2.71764e-05
     0.732 	 7.57917e-05 	 5.50465e-05
     0.733 	 0.000114189 	 8.31017e-05
     0.734 	 3.59555e-05 	 2.62107e-05
     0.735 	 5.14025e-05 	 3.75447e-05
     0.736 	 0.000110271 	 8.06959e-05
     0.737 	  4.8646e-05 	 3.56565e-05
     0.738 	 1.75888e-05 	 1.29137e-05
     0.739 	  3.2667e-05 	 2.40228e-05
     0.740 	 4.88836e-05 	 3.59999e-05
     0.741 	 4.27229e-05 	 3.15068e-05
     0.742 	 8.11982e-05 	 5.99671e-05
     0.743 	 9.32475e-05 	 6.89457e-05
     0.744 	 3.59377e-05 	 2.66086e-05
     0.745 	 3.57491e-05 	 2.64948e-05
     0.746 	 5.62872e-05 	 4.17596e-05
     0.747 	 4.69131e-05 	 3.48412e-05
     0.748 	 4.73247e-05 	 3.51808e-05
     0.749 	 0.000101629 	 7.56202e-05
     0.750 	 7.08886e-05 	 5.2801e-05
     0.751 	 5.14761e-05 	 3.83402e-05
     0.752 	   0.0001496 	 0.000111457
     0.753 	 0.000195984 	 0.000146009
     0.754 	 7.17463e-05 	 5.34614e-05
     0.755 	 2.92656e-05 	 2.1807e-05
     0.756 	 7.49405e-05 	 5.58323e-05
     0.757 	 0.000112737 	 8.39781e-05
     0.758 	 8.98447e-05 	 6.69147e-05
     0.759 	 3.21538e-05 	 2.39453e-05
     0.760 	 2.14391e-05 	 1.59615e-05
     0.761 	 5.51744e-05 	 4.10567e-05
     0.762 	 6.56669e-05 	 4.88558e-05
     0.763 	 6.68376e-06 	 4.97127e-06
     0.764 	 3.38806e-05 	 2.5184e-05
     0.765 	 2.10702e-05 	 1.56573e-05
     0.766 	 3.12051e-05 	 2.31731e-05
     0.767 	   1.337e-05 	 9.92122e-06
     0.768 	 2.13428e-06 	 1.58274e-06
     0.769 	 1.66386e-06 	 1.23304e-06
     0.770 	 5.28489e-06 	 3.91444e-06
     0.771 	 1.37879e-05 	 1.02094e-05
     0.772 	 6.12487e-05 	 4.53416e-05
     0.773 	 4.18639e-05 	 3.09782e-05
     0.774 	 4.80431e-06 	 3.55237e-06
     0.775 	 4.17826e-05 	 3.08835e-05
     0.776 	 5.95624e-05 	 4.40064e-05
     0.777 	 6.23841e-05 	 4.60743e-05
     0.778 	 2.87885e-05 	 2.1248e-05
     0.779 	 1.67718e-05 	 1.237e-05
     0.780 	 9.43893e-05 	 6.95903e-05
     0.781 	 0.000102822 	 7.57279e-05
     0.782 	 5.40716e-05 	 3.97937e-05
     0.783 	 8.82713e-06 	 6.49165e-06
     0.784 	  4.4264e-05 	 3.25204e-05
     0.785 	  9.9675e-05 	 7.3175e-05
     0.786 	 4.64902e-06 	 3.4096e-06
     0.787 	 6.39065e-05 	 4.68296e-05
     0.788 	 6.96205e-05 	 5.09601e-05
     0.789 	 0.000104616 	 7.65159e-05
     0.790 	  2.2756e-05 	 1.66249e-05
     0.791 	 2.37693e-05 	 1.73493e-05
     0.792 	 5.71623e-05 	 4.16716e-05
     0.793 	 4.86474e-05 	 3.54352e-05
     0.794 	 3.88445e-05 	 2.82587e-05
     0.795 	  5.5728e-05 	 4.05077e-05
     0.796 	 1.14755e-05 	 8.33154e-06
     0.797 	 3.35707e-05 	 2.43475e-05
     0.798 	 2.18956e-05 	 1.58612e-05
     0.799 	 1.10196e-05 	 7.97498e-06
     0.800 	 7.98882e-05 	 5.77601e-05
     0.801 	 8.14715e-05 	 5.88519e-05
     0.802 	 8.71887e-05 	 6.29392e-05
     0.803 	 7.71947e-05 	 5.56803e-05
     0.804 	 2.90028e-05 	 2.09043e-05
     0.805 	 2.57059e-05 	 1.85172e-05
     0.806 	 1.43355e-05 	 1.03171e-05
     0.807 	 2.68711e-05 	 1.93274e-05
     0.808 	 5.46723e-05 	 3.92873e-05
     0.809 	 7.09729e-06 	 5.09508e-06
     0.810 	 4.63683e-06 	 3.32673e-06
     0.811 	 9.54204e-05 	 6.83852e-05
     0.812 	 9.57192e-05 	 6.85395e-05
     0.813 	 8.14771e-06 	 5.82875e-06
     0.814 	 1.89508e-05 	 1.35421e-05
     0.815 	 4.83779e-06 	 3.45346e-06
     0.816 	 2.56432e-05 	 1.82911e-05
     0.817 	 0.000130842 	 9.32241e-05
     0.818 	 0.000140837 	 0.00010024
     0.819 	 4.56086e-05 	 3.24285e-05
     0.820 	 7.40971e-05 	 5.26352e-05
     0.821 	  0.00016817 	 0.00011933
     0.822 	 0.000120769 	 8.56068e-05
     0.823 	 2.32983e-05 	 1.65005e-05
     0.824 	 3.45724e-05 	 2.44628e-05
     0.825 	 4.01406e-05 	 2.83712e-05
     0.826 	 5.11044e-05 	 3.60871e-05
     0.827 	 4.85012e-05 	 3.42174e-05
     0.828 	 6.71031e-06 	 4.72986e-06
     0.829 	 1.35942e-05 	 9.57438e-06
     0.830 	 3.51332e-05 	 2.47212e-05
     0.831 	 1.41013e-05 	 9.91022e-06
     0.832 	 8.79233e-05 	 6.17268e-05
     0.833 	 5.33872e-05 	 3.74459e-05
     0.834 	 3.91111e-05 	 2.74101e-05
     0.835 	 2.03597e-05 	 1.42511e-05
     0.836 	 1.12005e-05 	 7.83366e-06
     0.837 	 2.95808e-05 	 2.06695e-05
     0.838 	 2.28784e-05 	 1.59696e-05
     0.839 	 3.53478e-06 	 2.46535e-06
     0.840 	 6.81576e-05 	 4.74979e-05
     0.841 	 5.43659e-05 	 3.78422e-05
     0.842 	 6.36819e-05 	 4.42936e-05
     0.843 	  0.00015112 	 0.000105019
     0.844 	 0.000167833 	 0.000116545
     0.845 	 4.94267e-05 	 3.42889e-05
     0.846 	 6.41601e-05 	 4.4476e-05
     0.847 	 6.40394e-05 	 4.43543e-05
     0.848 	 1.36641e-05 	 9.45787e-06
     0.849 	 5.22724e-06 	 3.61502e-06
     0.850 	 8.90755e-05 	 6.1549e-05
     0.851 	 9.71489e-05 	 6.70974e-05
     0.852 	 6.71253e-05 	 4.63264e-05
     0.853 	 5.86622e-05 	 4.04553e-05
     0.854 	 9.99831e-05 	 6.8915e-05
     0.855 	 4.49409e-05 	 3.0957e-05
     0.856 	 6.33006e-05 	 4.35766e-05
     0.857 	 8.11325e-05 	 5.58172e-05
     0.858 	 7.56383e-05 	 5.20153e-05
     0.859 	 8.06293e-05 	 5.54191e-05
     0.860 	 8.88664e-05 	 6.10502e-05
     0.861 	 6.30345e-05 	 4.32835e-05
     0.862 	 5.51073e-05 	 3.78201e-05
     0.863 	 6.11808e-05 	 4.19684e-05
     0.864 	 9.64611e-05 	 6.61381e-05
     0.865 	 7.97244e-05 	 5.465e-05
     0.866 	 8.01964e-05 	 5.4958e-05
     0.867 	 7.70192e-05 	 5.27657e-05
     0.868 	 8.03982e-05 	 5.50692e-05
     0.869 	 9.93002e-05 	 6.79897e-05
     0.870 	 4.76928e-05 	 3.26478e-05
     0.871 	 8.23495e-05 	 5.6352e-05
     0.872 	  7.9001e-05 	 5.40456e-05
     0.873 	 5.14115e-05 	 3.51588e-05
     0.874 	 4.07353e-05 	 2.78498e-05
     0.875 	 3.03929e-05 	 2.07694e-05
     0.876 	 5.52332e-05 	 3.77372e-05
     0.877 	 8.40682e-05 	 5.74228e-05
     0.878 	 8.36021e-05 	 5.70934e-05
     0.879 	 8.63062e-05 	 5.89112e-05
     0.880 	 4.24472e-05 	 2.89652e-05
     0.881 	 4.29573e-05 	 2.93115e-05
     0.882 	  6.7068e-05 	 4.57572e-05
     0.883 	 5.39484e-05 	 3.67977e-05
     0.884 	 0.000117465 	 8.00769e-05
     0.885 	 3.28907e-06 	 2.24149e-06
     0.886 	 6.14626e-05 	 4.18767e-05
     0.887 	 6.70649e-05 	 4.56829e-05
     0.888 	 6.04264e-05 	 4.11345e-05
     0.889 	 0.000101251 	 6.89089e-05
     0.890 	 8.65033e-05 	 5.8858e-05
     0.891 	  2.9442e-05 	 2.00209e-05
     0.892 	 8.09851e-05 	 5.50405e-05
     0.893 	 9.69808e-05 	 6.58874e-05
     0.894 	 9.52022e-05 	 6.46408e-05
     0.895 	 4.93977e-05 	 3.35242e-05
     0.896 	 9.13446e-05 	 6.1969e-05
     0.897 	 2.78835e-05 	 1.89051e-05
     0.898 	 7.72222e-05 	 5.23319e-05
     0.899 	 7.21157e-05 	 4.88423e-05
     0.900 	 3.88635e-05 	 2.63095e-05
     0.901 	 6.14486e-05 	 4.15828e-05
     0.902 	 7.46616e-05 	 5.04991e-05
     0.903 	 6.84145e-05 	 4.62557e-05
     0.904 	 9.95684e-05 	 6.72779e-05
     0.905 	 0.000122372 	 8.2645e-05
     0.906 	 6.06163e-05 	 4.09216e-05
     0.907 	 0.000120118 	 8.10589e-05
     0.908 	 7.65423e-05 	 5.16325e-05
     0.909 	  6.7192e-05 	 4.52924e-05
     0.910 	 5.54712e-05 	 3.73797e-05
     0.911 	 9.48976e-05 	 6.39253e-05
     0.912 	 3.58488e-05 	 2.41377e-05
     0.913 	 7.09598e-05 	 4.77514e-05
     0.914 	 7.77633e-05 	 5.23114e-05
     0.915 	 7.30803e-05 	 4.91387e-05
     0.916 	 9.23547e-05 	 6.20632e-05
     0.917 	 8.51536e-05 	 5.72022e-05
     0.918 	 6.85102e-05 	 4.60057e-05
     0.919 	   5.796e-05 	 3.88987e-05
     0.920 	  7.8456e-05 	 5.26319e-05
     0.921 	 8.32301e-05 	 5.58282e-05
     0.922 	 4.59847e-05 	 3.08412e-05
     0.923 	 5.88289e-05 	 3.9447e-05
     0.924 	 4.22654e-05 	 2.83348e-05
     0.925 	 9.20869e-05 	 6.17344e-05
     0.926 	 6.40727e-05 	 4.29507e-05
     0.927 	 6.98062e-05 	 4.67901e-05
     0.928 	 3.87665e-05 	 2.59847e-05
     0.929 	 6.99837e-05 	 4.6911e-05
